가게 이름,댓글,작성 날짜
패밀리레스토랑,"두번째 방문! 러시아 전통요리를 먹고 싶을 때 옵니다. 주문 후 기다리며 둘러 보면, 전통의상 입으신 직원 분께서 테이블 청소 하실 때 꼼꼼하게 닦으시는...",23.5.19.금.금
패밀리레스토랑,매장 분위기가 완전 러시아 그 잡채..! 주방 분들도 점 원 분들도 전부 외국 분이라 해외여행 온 느낌이었어 요! 한국말은 전부 굉장히 유창하심니다.. 진짜 ...,22.12.21.수.수
패밀리레스토랑,"인테리어가 이국적이고 가게 모든분들이 러시아분들 이라 외국에 온것 같아, 간만에 색다른 분위기를 느낄 수 있어서 좋았어요. 체부레키 커다란 만두튀김...",22.12.17.토.토
패밀리레스토랑,러시아 음식 두번째로 먹어봤는데 정말 맛있어요. 직 원분들도 친절하고 한국말 잘해요. 매장이 넓고 화장 실이 엄청 넓고 깨끗해서 좋았어요. 아쉬운건 ...,23.3.5.일.일
패밀리레스토랑,처음 먹어본 러시아 전통요리였는데 너무 맛있었어요 러시아 현지인들이 운영을 해서 더 이색적이고 인테 리어도 이색적이고 이뻐서 더 좋았어요 메뉴도 ...,23.1.3.화.화
패밀리레스토랑,굿,23.9.28.목.목
패밀리레스토랑,"러시아 음식 처음이었는데 신세계이고 맛있었어요 러 시아 여행 유튜브 보면 샤슬릭 꼭 나와서 남자친구랑 골랐는데 기대 이상이었고 전통 수프, 빵, 고기 ...",22.12.17.토.토
패밀리레스토랑,굿,23.9.24.일.일
패밀리레스토랑,이태원역 도보 5분 거리에 위치해 접근성이 뛰어나요! 낯선 음식이 처음이신 분들도 가볍게 즐기기 좋은요 리🥰 재료들도 전부 신선하고 러시아 음식을 ...,22.12.5.월.월
패밀리레스토랑,"러시아 현지 분들이 하셔서 러시아에서 먹던 맛이랑 똑같아요! 개인적으로는 현지 맛집보다 훨씬 맛있을 정도!! 😍 다들 한국말도 잘하시고, 완전 친절...",22.11.23.수.수
패밀리레스토랑,"생소한 러시아 음식이라 두근두근 했네용 ㅎㅎ 생각 보다 너무 맛있어요! 아이들 데리고 다녀왔는데 아이 들도 엄청 잘먹더라고요~ 루프탑도 있고, 손님...",22.11.14.월.월
패밀리레스토랑,"이태원에서 발견한, 정통 러시아 요리 전문점이에요. 
현지인 스태프가 한국말도 능숙하시고, 마치 러시아 
여행와서 식사하는 느낌. ☺️ 러시아 요리 이맛...",22.12.17.토.토
패밀리레스토랑,좋아요,23.11.19.일.일
패밀리레스토랑,러시아 음식이 궁금해서 와봤어요! 특별한 메뉴가 있어요~ 하지만 가격 대비 양이 적어서 아쉬웠어요 ㅜㅜ 비싼 편이니 참고해주세요!,23.3.12.일.일
패밀리레스토랑,너무맛있었어요ㅠㅠㅠ 송아지요리 고기요리 사이드 다 존맛! 알바생분들 다 너무 이쁘심♡♡♡ 한국말도 잘하시구 친절하세요,23.1.14.토.토
패밀리레스토랑,처음 먹어보는 러시아음식인데 생각보다 가격이 비싼 것 같아요🥲 그래도 좋은 경험한 것 같습니다..ㅎ,23.2.25.토.토
패밀리레스토랑,이색적이고 이국적인 분위기와 음식을 즐기고 싶은 분들께 적극 추천하는 러시안 레스토랑입니다. 모든 직원분들이 현지인이시고 한국어 소통 아주 잘 ...,22.10.13.목.목
패밀리레스토랑,"너무너무 친절하세요
맛도ㅠ좋고 진짜 강추!!",23.5.6.토.토
패밀리레스토랑,러시아 음식 처음 먹어봤는데 입에 너무 잘 맞았어요. 직원분들 예쁘고 친절하시구 인테리어도 너무 예뻐요 . 진짜 러시아 온 듯한 느낌이 들었어요. 추천 ...,22.10.9.일.일
패밀리레스토랑,러시아 음식점은 인생에서 처음입니다! 주변에서 접 해볼 일이 없었는데 확실히 이태원은 핫하구만유!!! 이 태원에서도 핫플인 트로이카에 주말 6시에 방...,22.9.19.월.월
패밀리레스토랑,멋진 인테리어와 다양한 음식. 처음 접해보는 게 많았 는데 다행히 한국인 입맛에 낯설지 않아 모든 메뉴를 맛있게 잘 먹었습니다. 특히 빙수같이 생긴 포...,22.10.9.일.일
패밀리레스토랑,"분위기좋은 이태원루프탑술집~어여쁜 러시아 현지인 이 운영하고, 깔끔한 고퀄리티 ~색다른맛의 러시아음 식과 러시아맥주 한잔하며 즐기는 가을날의 데...",22.9.22.목.목
패밀리레스토랑,맛있어요,23.6.3.토.토
패밀리레스토랑,맛있음,23.5.28.일.일
패밀리레스토랑,러시아 음식 처음 먹어봤는데 너무 맛있었어요❤️ 여 기 직원분들 너무 예쁘고 친절하시구 인테리어도 너 무 예뻐서 진짜 러시아 온 듯한 느낌이 들었어...,22.9.14.수.수
패밀리레스토랑,이태원 루프탑 맛집♡ 제대로된 러시아 음식을 즐길 수 있는 곳 스프부터 디저트까지 다 맛있다 뷰도 너무 예쁘고 음식도 맛있고 분위기가 좋아서 데이트...,22.9.15.목.목
패밀리레스토랑,맛도 있고 좋습니다ㅎ 특별한 러시아 메뉴를 즐길 수 있는 점이 마음에 들었고 다양한 종류로 러시아 음식 을 알게되는 점도 좋았어요ㅎ 러시아식 닭고기...,22.9.23.금.금
