가게 이름,댓글,작성 날짜
이자카야,왕새우튀김도 너무 마싯고 조용한 술집 찾으실때 냠 좋아요~~~!!!,4.25.목
이자카야,홍대공감은 일본감성 분위기에 안주까지 맛나서 홍대 이자카야의 진면목을 엿볼 수 있는 가게였습니다~ 사장님도 친절하시고 단체모임으로도 적합했어요ㅎㅎ,3.13.수
이자카야,맛있어요! 다만 가격대가 좀 있어요,4.23.화
이자카야,룸이 많아서 소소하게 먹기 좋을 것 같아요~,5.19.일
이자카야,매장이 깔끔하고 음식도 맛있고 너무 좋아요!!,6.18.화
이자카야,안주대박 이자카야.우니와 새우조합도 너무좋았고 다양한 해산물을 맛볼수있어서 좋았어요~ 룸에서 편안한 시간을 보낼수있어서 좋았습니다,1.9.화
이자카야,룸식 프라이빗한 공간이어서 좋았어요. 음식도 맛있고 양도 푸짐해요.,2.19.월
이자카야,"음식 분위기 다 좋았는데, 일정시간이 지나자 다음예 약자로 인해 자리를 비워달라고 하는 것이 이해는 가 지만 좀 아쉬웠다. 아마 음식이랑 그자리가 좋...",4.19.금
이자카야,친목하기좋아효옹~~~~,4.26.금
이자카야,"여자친구랑 데이트코스겸 방문해봤는데 분위기도 좋
고 맛도 좋았어요 :) 여기 정말 안주들 다 맛있네요!!!",1.25.목
이자카야,단체모임하기에 너무 적격한 장소에요. 다음에 또 방문할 의사가 있습니다~^^ 친절한 서비스에 무릎을 탁 칩니다,5.19.일
이자카야,타다끼 완전 강추에요! 분위기도 좋고 하이볼도 맛있어서 다음에 또 올 것 같아용,4.9.화
이자카야,단새우와 우니가 먹고싶었는데 단품 메뉴가 있는 곳이라 잘 먹었습니다 술 뚝딱이예요😊,3.3.일
이자카야,음식이 너무 맛나용,6.25.화
이자카야,"룸 예약 후 방문 했습니다
분위기도 좋고 맛도 좋아요",4.6.토
이자카야,음식이 맛있었고 룸으로 되어 있어서 대화 나누기 좋았습니다!,3.31.일
이자카야,맛있었습니다,6.23.일
이자카야,인터넷으로 검색하고 온 곳인데 깔끔하고 음식도 맛있어요 좋습니다!,4.20.토
이자카야,맛있고 좋아요,5.17.금
이자카야,입구에 들어서면 눈에 가장 먼저 띄는 벚꽃 장식을 비 롯해서 조용하고 아늑한 단독 프라이빗룸과 하늘이 보이는 쾌적한 자리에서 술 한잔 할 수 있는 공...,23.9.25.월.월
이자카야,두번째 방문인데 조용히 이야기하기좋게 룸이 되어있어 좋아요^^,4.29.월
이자카야,"홍대공감 이자카야 너무 예쁘고 데이트하기 좋아요~
안주도 맛있고 분위기도 좋아서 
또 오고 싶어요^^",3.26.화
이자카야,룸 술집이라 이야기나누기도 좋고 분위기도 예쁘고 안주가 너무 맛있었습니다 ㅎㅎ,1.7.일
이자카야,,6.25.화
이자카야,이렇게 예쁜 홍대 이자카야 처음봐요! 룸이 있어서 프라이빗했고 안주도 다양하고 맛있었어요😋😋,3.14.목
이자카야,4명이서 오랜만에 만나는 자리라서 룸으로 예약되는 점이 너무 좋았어요! 저희끼리 재밌게 수다 떨면서 술 마시기 딱 좋은 환경이라 다음에도 홍대 근처에...,23.11.4.토.토
이자카야,,6.20.목
이자카야,웬만하면 이런 글 잘 안남기는데요 바지락 술찜을 시 켰는데 바지락을 먹을때마다 모래 알갱이가 자잘하게 씹혔어요 직원에게 말하고 다시 해주셨는데 처...,3.15.금
이자카야,분위기도 좋고 안주도 맛있어서 잘 먹고왔어요~~! 룸도 많아서 대화하기도 너무 좋았네요,23.12.17.일.일
이자카야,"룸술집이라 친구들끼리 비밀이야기도 하고 너무 좋은 시간 보냈습니다. 편해서 생각보다 너무 오래 있었다눈 ,, 😀ㅋㅋㅋㅋㅋ",2.8.목
이자카야,"사람들 잔뜩 붐비는 이 핫한 홍대에서도 프리이빗하 게 즐길 수 있는 이자카야죠 저희는 살치살타다끼와 특사시미, 오꼬노미야끼, 후토마끼까지 시켰습...",23.9.25.월.월
이자카야,,6.16.일
이자카야,회도 나베도 정말 너무 맛있게 먹었습니다 분위기도 좋았고 룸이 있어서 확실히 더 편하게 먹었습니다 감사합니다,2.24.토
이자카야,맛있고 룸 있어서 좋아요 :),2.24.토
이자카야,,5.5.일
이자카야,미리 예약하고 갔는데 기본적인 서비스가 좋지 못했어요,4.7.일
이자카야,분위기좋고 룸으로 되어있어 편안하게 술마시기좋고 안주도 맛있습니다,3.14.목
이자카야,안주가 넘 다양하고 프라이빗 룸이라 좋았어요!! 최고최고❤️,23.12.4.월.월
이자카야,"홍대 이자카야 룸술집이라서 너무 좋아요🥰 프라이
빗한 룸에서 일행들과 도란도란 이야기 나누기 좋습
니다! 음식 또한 너무 맛있고 직원분들도 친절...",23.11.4.토.토
이자카야,"음식이 정말 맛있고 이야기하기가 너무 좋아용
다음에도 꼭 올게요!! 감사합니다😃",1.31.수
이자카야,알바들이 진짜 불친절해요 특히 여자 알바가 불친절함 이해 하려고 해도 이해 할 수가 없음 그 알바 때문이라도 다시는 안 올듯;;,2.24.토
이자카야,"맛있어요! 회도 신선하고 좋아요!
술도 종류 많고 프라이빗한 방도 있어서 얘기하기 좋아요!",23.12.27.수.수
이자카야,분위기와 감성이 정말 좋습니다!,2.17.토
이자카야,맛도 좋은데 분위기도 완벽하고 심지어 룸까지 완비 돼있는 이자카야라니!!! 직원분들도 친절하시고 홍대 맛집답게 주변 술집 중에 최고였어요 특히 순두...,23.9.7.목.목
이자카야,분위기 좋고 안주도 맛있어요 직원분들도 완전 친절 하십니다. 수제치즈해물오코노미야끼랑 칠리새우 먹 었는데 양도 적당하고 소스가 다 맛있었습니다....,23.9.4.월.월
이자카야,분위기가 정말 괜찮네요 칠리새우도 맛있게 먹고 갑니다,2.9.금
이자카야,"19일 18시쯤 24번 룸 이용해서 나가사키짬뽕, 소주1
병 주문했는데 결제내역 확인하니 4만원이 결제됐네
요? 정신이없어 이제확인했는데 덤탱이 씌운건지..",2.19.월
이자카야,아늑하고 조용하고 좋아용,2.4.일
