,카테고리,time,강수량
157,베트남음식,2024-05-19,0.0
158,베트남음식,2024-03-08,0.0
159,베트남음식,2024-05-17,0.0
160,베트남음식,2024-03-31,0.0
161,베트남음식,2024-05-14,0.0
162,베트남음식,2024-03-10,0.0
163,베트남음식,2024-03-09,0.0
164,베트남음식,2024-03-09,0.0
165,베트남음식,2024-04-13,0.0
166,베트남음식,2024-04-27,0.0
167,베트남음식,2024-05-03,0.0
168,베트남음식,2024-05-21,0.0
169,베트남음식,2024-06-22,16.5
170,베트남음식,2024-04-12,0.0
171,베트남음식,2024-03-20,0.0
172,베트남음식,2024-06-12,0.0
173,베트남음식,2024-06-20,0.0
174,베트남음식,2024-06-13,0.0
175,베트남음식,2024-02-16,0.0
176,베트남음식,2024-02-15,10.9
177,베트남음식,2024-04-12,0.0
178,베트남음식,2024-03-05,0.0
179,베트남음식,2024-05-11,31.7
180,베트남음식,2024-06-26,0.0
181,베트남음식,2024-04-20,4.8
182,베트남음식,2024-05-09,0.0
183,베트남음식,2024-05-27,0.0
184,베트남음식,2024-02-12,0.0
185,베트남음식,2024-06-22,16.5
186,베트남음식,2024-02-05,3.9
187,베트남음식,2024-03-13,0.0
188,베트남음식,2024-01-29,0.0
189,베트남음식,2024-02-15,10.9
190,베트남음식,2024-03-30,0.0
191,베트남음식,2024-02-12,0.0
192,베트남음식,2024-06-15,6.1
193,베트남음식,2024-04-15,17.1
194,베트남음식,2024-04-21,0.0
195,베트남음식,2024-02-17,0.0
196,베트남음식,2024-06-06,0.0
197,베트남음식,2024-03-23,0.1
198,베트남음식,2024-05-21,0.0
199,베트남음식,2024-02-24,2.3
200,이탈리아음식,2024-05-08,0.0
201,이탈리아음식,2024-05-15,20.6
202,이탈리아음식,2024-05-16,0.1
203,이탈리아음식,2024-06-12,0.0
204,이탈리아음식,2024-05-13,0.0
205,이탈리아음식,2024-06-26,0.0
206,이탈리아음식,2024-05-22,0.0
207,이탈리아음식,2024-04-11,0.0
208,이탈리아음식,2024-04-18,0.0
209,이탈리아음식,2024-02-18,17.1
