가게 이름,댓글,작성 날짜
"멕시코,남미음식","들어가는 입구가 너무 인상적이네요,,! 매장은 넓고 
대기는 20분 정도 하고 들어갔어요! 타코도 맛있고 직
원분들도 친절하세요!!",6.14.금
"멕시코,남미음식","와 너무너무 맛있고 양도 많아요
2명이라 세트 시켰는데 다 못 먹을 정도네요
재방문의사 있습니다",5.24.금
"멕시코,남미음식",또띠아랑 과카몰리 등 리필되는거 넘 좋아요!,6.8.토
"멕시코,남미음식",도산공원 TOP1 타코! 도산에서 가장 푸짐하고 맛있 어서 자주 찾는 곳이에요! 발렛도 가능하고 넓고~ 친 절하고! 4명이서 4인세트 먹었는데 정말 배부...,2.15.목
"멕시코,남미음식",압구정 타코맛집 모든메뉴가 기깔나고 양 진짜 많아 요🍕 멕시칸 요리의 집합체 갓잇 토르티야 계속 리필 되는것도 만족스럽고 파히타나 타코는 양이적...,2.23.금
"멕시코,남미음식",타코 맛집이라 소문듣고 방문했어요 주말에 예약없이 와도 30분 안으로 웨이팅하고 들어왔어요 대신 음식 이 바로 나와서 좋았어요 재료도 신선하고 맛...,3.31.일
"멕시코,남미음식",친구들이 맛있다고 해서 왔는데 음식도 넘 맛있고 인테리어도 멋있고 좋네용💚🩷💚🩷💚🩷🦜🦜,5.4.토
"멕시코,남미음식","새우타코 너무 맛있어용!! 새우타코 완전 추천합니다
분위기도 쾌적해서 너무 좋아요",6.19.수
"멕시코,남미음식","2024.4.14 일 오후 5:30 정도 도착, 우리가 첫번째 웨 이팅. 2인은 생각보다 빨리 들어간다! 분위기 좋구, 음 식 빨리 나오는 편. 맛있고 만족하는데, 일하는 ...",4.14.일
"멕시코,남미음식",분위기도 좋고 음식도 맛있어요 선인장으로 인테리어 한게 독특하고 점심시간 시작 되기전에 와서 널널하 게 식사할 수 있어요 점심시간이 되니깐 아무...,3.11.월
"멕시코,남미음식","문 열고 들어가면 바아로 이곳이 멕시코 비세트 시켰
는데 둘이 먹기 양도 많고 소스+또디아는 리필되서 
좋았어요!",5.10.금
"멕시코,남미음식","맛있고 구성 알차요 또띠아 계속 리필 가능해요 멕시
칸음식 좋아하면 추천하는데 전반적으로 불친절해요",6.28.금
"멕시코,남미음식","대기도 1분밖에 안 걸리고 금방 입장해서 먹었어요!!
음식도 맛있고 좋아요!",6.22.토
"멕시코,남미음식","양이 엄청 많고 맛있어요! 밥이 같이 나오는 B 세트는 
쌀이 한국 쌀이 아니라 향이 독특해서 호불호가 갈릴 
수 있을것 같아요. 아주 맛있게 먹었습니다😊",6.1.토
"멕시코,남미음식",친구랑 압구정 놀러온 김에 맛집이라고 해서 와봤어 요!! 우선 첫인상은 가게가 정말 깔끔하고 분위기도 좋고 직원 분들도 친절하셔서 정말 좋았습니다...,3.31.일
"멕시코,남미음식",기대돼용✨✨✨✨,6.27.목
"멕시코,남미음식",매장이 일단 엄청 넓고 쾌적해요! 공원이 보이게 창이 탁트여있어요. 맛은 말할 것도 없이 맛있고 푸짐해서 좋았습니다~!,4.12.금
"멕시코,남미음식","압구정 놀러온김에 맛집 찾다가 발견! 상상 이상으로 
양이 많고 맛있으며 직원분들도 너무 친절했어요! 또 
방문각😝",6.23.일
"멕시코,남미음식",제기 제일 좋아하는 타코집 갓잇 갓잇은 다른 곳과 다 르게 너무 헤비하지 않고 되게 프레쉬한 느낌이라서 타코 먹고 싶을땐 여기로 와요 진짜 너무 좋아...,2.23.금
"멕시코,남미음식","갓잇을 정말 사랑함,,,,,,,,도산공원점에서 처음 먹어보고 다른 지점으로도 몇 번 갔었는데 갈 때마다 맛있어요🥹💛💛💛💛💛💛💛💛💛💛💛💛💛",5.12.일
"멕시코,남미음식",양도많고 맛있었어요! 세트로 나오는 타코에 할라피뇨가 들어가있는건지 매워서 ㄷㅏ 못먹었네요 ㅠㅠ 보조배터리 짱짱한거 빌려주셔서 감사해용 ㅎㅎ,6.3.월
"멕시코,남미음식",온가족이 푸짐하게 잘 먹었어요. 주차도 편하고 좋았어요,6.22.토
"멕시코,남미음식",단발머리 알바분 너무 불친절해서 불쾌하네요 질문을 하면 대답도안하고 퉁명스럽고 … 어찌 저런분이 알 바를해서 기분을 잡치게하는지 ㅎ 머리묶은 ...,6.17.월
"멕시코,남미음식","양이 엄청 많고 맛있어요! 밥이 같이 나오는 B 세트는 
쌀이 한국 쌀이 아니라 향이 독특해서 호불호가 갈릴 
수 있을것 같아요. 아주 맛있게 먹었습니다😊",6.1.토
"멕시코,남미음식",친구랑 압구정 놀러온 김에 맛집이라고 해서 와봤어 요!! 우선 첫인상은 가게가 정말 깔끔하고 분위기도 좋고 직원 분들도 친절하셔서 정말 좋았습니다...,3.31.일
"멕시코,남미음식",기대돼용✨✨✨✨,6.27.목
"멕시코,남미음식",매장이 일단 엄청 넓고 쾌적해요! 공원이 보이게 창이 탁트여있어요. 맛은 말할 것도 없이 맛있고 푸짐해서 좋았습니다~!,4.12.금
"멕시코,남미음식","압구정 놀러온김에 맛집 찾다가 발견! 상상 이상으로 
양이 많고 맛있으며 직원분들도 너무 친절했어요! 또 
방문각😝",6.23.일
"멕시코,남미음식",제기 제일 좋아하는 타코집 갓잇 갓잇은 다른 곳과 다 르게 너무 헤비하지 않고 되게 프레쉬한 느낌이라서 타코 먹고 싶을땐 여기로 와요 진짜 너무 좋아...,2.23.금
"멕시코,남미음식","갓잇을 정말 사랑함,,,,,,,,도산공원점에서 처음 먹어보고 다른 지점으로도 몇 번 갔었는데 갈 때마다 맛있어요🥹💛💛💛💛💛💛💛💛💛💛💛💛💛",5.12.일
"멕시코,남미음식",양도많고 맛있었어요! 세트로 나오는 타코에 할라피뇨가 들어가있는건지 매워서 ㄷㅏ 못먹었네요 ㅠㅠ 보조배터리 짱짱한거 빌려주셔서 감사해용 ㅎㅎ,6.3.월
"멕시코,남미음식",온가족이 푸짐하게 잘 먹었어요. 주차도 편하고 좋았어요,6.22.토
"멕시코,남미음식",단발머리 알바분 너무 불친절해서 불쾌하네요 질문을 하면 대답도안하고 퉁명스럽고 … 어찌 저런분이 알 바를해서 기분을 잡치게하는지 ㅎ 머리묶은 ...,6.17.월
"멕시코,남미음식","양이 많고 맛있어요!!
다음에도 또 방문할 의사 있습니당~!",6.9.일
"멕시코,남미음식","입구에서부터 문도 멋있고 음식 비주얼도 완전 푸짐
하네요👍🏻👍🏻👍🏻👍🏻 매장도 넓고 쾌적해서 좋았습니
다!!",5.15.수
"멕시코,남미음식","이곳 처움 왔는데 맛있어요
추천으로 먹어봅니다 
맛있어요~좋아요 또 올꺼같아요",4.16.화
